"name","activation","move","fight","shoot","defence","combatDice","health","points","unitPoints","hero","commander","champion","spellcaster","spells","magic","min","max","equipment","special"
"Dwarf King","4","5","4","0","11","3","3","322","0","TRUE","TRUE","TRUE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (2), Champion, Shielding (1), Magic Items"
"Dwarf Prince","4","5","3","0","11","2","2","165","0","TRUE","TRUE","TRUE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (1), Champion, Shielding (1), Magic Items"
"Dwarf General","4","5","3","0","11","1","2","293","0","TRUE","TRUE","FALSE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (2), Shielding (1), Magic Items"
"Dwarf Captain","4","5","3","0","11","1","1","150","0","TRUE","TRUE","FALSE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (1), Shielding (1), Magic Items"
"Dwarf Champion","4","5","4","0","11","3","1","62","0","TRUE","FALSE","TRUE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Champion, Shielding (1), Magic Items "
"Dwarf Spellcaster ","4","5","2","0","9","3","2","40","0","TRUE","FALSE","FALSE","1","Dwarf, General","TRUE","1","1","Hand Weapon","Spellcaster (1), Shielding (1), Fire Over, Magic Items"
"Dwarf Soldier","4","5","2","0","10","1","1","15","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Shield , Light Armour","Shielding (1)"
"Dwarf Archer","4","5","0","2","10","1","1","15","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Bow, Light Armour","Fire Over"
"Dwarf Spearman","4","5","2","0","10","1","1","16","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Spear, Shield , Light Armour","Shielding (1), Brace"
"Dwarf Warrior","4","4","2","0","11","1","1","17","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Shield , Heavy Armour","Shielding (1)"
"Dwarf Linebreaker","4","4","3","0","11","1","1","20","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Two-Handed Weapons, Heavy Armour","None"
"Dwarf Border Guard","4","5","0","2","9","1","1","17","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Bow","Nimble, Aimed Fire"
"Dwarf Militia","5","5","3","0","9","1","1","14","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Two-Handed Weapons","None"
"Dwarf Engineer","4","5","1","0","10","1","1","15","0","FALSE","FALSE","FALSE","0","","FALSE","5","5","Hand Weapon, Light Armour","Engineers, Figures (5), Waterwalk"
"Dwarf Chariot","4","7","3","0","13","3","3","172","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand weapon, Shield","Charge (3), Wild Charge, Large, Limited Maneuvers, Limited Movements"
"Dwarf Light Catapult","4","3","2","3","9","1","1","120","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand Weapon","Artillery, Crew (3) Indirect Fire, Shielding (1)"
"Dwarf Heavy Catapult","4","2","2","4","9","1","1","140","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand Weapon","Artillery, Crew (4) Indirect Fire, Shielding (1)"
"Barghest","4","8","3","0","11","4","4","200","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Shielding (1), Wild Charge, Discorporate, Horrific, Large"
"Eachy","7","5","4","0","12","3","5","120","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Regenerate (1), Horrific, Waterwalk, Large, Courage (2)"
"Indrik","6","6","2","0","12","4","5","160","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Shielding (1) Charge (3), Brace, Large, Courage (1)"
