"name","activation","move","fight","shoot","defence","combatDice","health","points","unitPoints","hero","commander","champion","spellcaster","spells","magic","min","max","equipment","special"
"Elf King or Queen","3","6","5","0","10","3","3","356","0","TRUE","TRUE","TRUE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (2), Champion, Shielding (1), Magic Items"
"Elf Prince or Princess","3","6","4","0","10","2","2","189","0","TRUE","TRUE","TRUE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (1), Champion, Shielding (1), Magic Items"
"Elf General","3","6","4","0","10","1","2","329","0","TRUE","TRUE","FALSE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (2), Shielding (1), Magic Items"
"Elf Captain","3","6","4","0","10","1","1","174","0","TRUE","TRUE","FALSE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (1), Shielding (1), Magic Items"
"Elf Champion","3","6","5","0","10","3","1","74","0","TRUE","FALSE","TRUE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Champion, Shielding (1), Magic Items "
"Elf Spellcaster","3","6","3","0","8","3","2","60","0","TRUE","FALSE","FALSE","1","Elf, General","TRUE","1","1","Hand Weapon","Spellcaster (1), Shielding (1), Fire Over, Magic Items"
"Elf Soldier","3","6","3","0","9","1","1","20","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Shield , Light Armour","Shielding (1)"
"Elf Archer","3","6","1","3","9","1","1","24","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Elf Bow, Light Armour","Fire Over, Aimed fire"
"Elf Spearman","3","6","3","0","9","1","1","22","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Spear, Shield , Light Armour","Shielding (1), Brace"
"Elf Warrior","3","5","3","0","10","1","1","26","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Shield , Heavy Armour","Shielding (1)"
"Elf Linebreaker","3","5","4","0","10","1","1","30","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Two-handed Weapon, Heavy Armour","None"
"Elf Ranger","3","6","1","3","8","1","1","25","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Elf Bow","Nimble, Aimed Fire"
"Elf Pathguard","3","6","3","0","8","1","1","22","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Shield","Shielding (1), Nimble"
"Elf Hunt Master","3","8","2","0","8","1","1","20","0","FALSE","FALSE","FALSE","0","","FALSE","5","20","Hunt Master, Hand Weapon, Dogs","Nimble"
"Elf Engineer","3","6","2","0","9","1","1","20","0","FALSE","FALSE","FALSE","0","","FALSE","5","5","Hand Weapon, Light Armour","Engineers, Figures (5), Waterwalk"
"Elf Mounted Rangers","3","8","2","3","10","1","1","55","0","FALSE","FALSE","FALSE","0","","FALSE","1","10","Hand Weapon, Elf Bow","Aimed Fire"
"Elf Cavalry","3","8","4","0","12","2","1","70","0","FALSE","FALSE","FALSE","0","","FALSE","1","10","Hand Weapon, Shield, Light Armour","Charge (3), Shielding (1)"
"Elf Chariot","3","7","3","0","13","3","3","195","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand weapon, Shield","Charge (3), Wild Charge, Large, Limited Maneuvers, Limited Movements"
"Elf Ballista","3","3","3","4","8","1","1","120","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand Weapon","Artillery, Aimed Fire, Crew (2) Shielding (1)"
"Giant Spider","5","5","3","0","11","3","3","48","0","FALSE","FALSE","FALSE","0","","FALSE","1","3","None","Horrific, Shielding (1) Nimble"
"Lindwurm","3","8","5","0","12","5","8","500","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Horrific, Shielding(2), Flying, Enormous"
"Wulver","5","7","3","0","10","3","3","80","0","FALSE","FALSE","FALSE","0","","FALSE","1","3","None","Horrific, Charge (2), Wild Charge, Nimble, Regenerate (1)"
