"name","activation","move","fight","shoot","defence","combatDice","health","points","unitPoints","hero","commander","champion","spellcaster","spells","magic","min","max","equipment","special"
"Goblin King","6","6","3","0","10","3","3","245","0","TRUE","TRUE","TRUE","0","","TRUE","1","1","Hand Weapon, Shield , Heavy Armour","Command(2), Shielding (1), Charge (1), Magic Item"
"Goblin Advisor","6","6","2","0","10","2","2","124","0","TRUE","TRUE","TRUE","0","","TRUE","1","1","Hand Weapon, Shield , Heavy Armour","Command(1), Shielding (1), Charge (1), Magic Item"
"Goblin General","6","6","2","0","10","1","1","227","0","TRUE","TRUE","FALSE","0","","FALSE","1","1","Hand Weapon, Shield , Heavy Armour","Command(2), Shielding(1), Charge (1)"
"Goblin Captain","6","6","2","0","10","1","1","114","0","TRUE","TRUE","FALSE","0","","FALSE","1","1","Hand Weapon, Shield , Heavy Armour","Command(1), Shielding(1), Charge (1)"
"Goblin Champion","6","6","3","0","10","3","1","37","0","TRUE","FALSE","TRUE","0","","FALSE","1","1","Hand Weapon, Shield , Heavy Armour","Champion, Shielding(1), Charge(1)"
"Goblin Spellcaster","6","6","1","0","8","3","2","40","0","TRUE","FALSE","FALSE","1","Goblin, General","TRUE","1","1","Hand Weapon","Spellcaster (1), Shielding (1), Fire Over, Magic Items"
"Goblin Soldier","6","6","1","0","9","1","1","10","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand weapon Shield Light Armour","Charge(1), Shielding(1)"
"Goblin Archer","6","6","0","1","9","1","1","10","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Bow, Light Armour","Fire Over"
"Goblin Spearman","6","6","1","0","9","1","1","11","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand weapon Shield Light Armour","Charge(1), Shielding(1), Brace"
"Goblin Slave","7","6","0","0","8","1","1","6","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand weapon ","Charge (1)"
"Goblin Slave Slinger","7","6","0","0","8","1","1","6","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand weapon Sling","None"
"Goblin Engineer","6","6","0","0","9","1","1","10","0","FALSE","FALSE","FALSE","0","","FALSE","10","10","Hand Weapon, Light Armour","Engineers, Figures (10), Waterwalk, Charge (1)"
"Goblin Wolf Rider","6","8","2","0","11","2","1","20","0","FALSE","FALSE","FALSE","0","","FALSE","1","10","Hand Weapon, Shield, Light Armour","Charge(2) Shielding (1)"
"Goblin Wolf Rider Scout","6","8","1","1","11","2","1","24","0","FALSE","FALSE","FALSE","0","","FALSE","1","10","Hand Weapon, Bow, Light Armour","Charge(1) Aimed Fire"
"Goblin Light Catapult","6","3","1","3","8","1","1","80","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand weapon ","Artillery Crew (3), Indirect Fire, Shielding(1) Charge (1) "
"Goblin Chariot","6","7","2","0","13","3","3","118","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand weapon, Shield","Charge (3), Wild Charge, Large, Limited Maneuvers, Limited Movements"
"Wolf","6","8","1","0","8","1","1","12","0","FALSE","FALSE","FALSE","0","","FALSE","1","10","None","Charge(1)"
"Troll","6","6","4","0","10","3","3","65","0","FALSE","FALSE","TRUE","0","","FALSE","1","3","None","Champion, Shielding(1), Charge(2), Wild Charge, Horrific, Water Walk, Large"
"Knucker","6","6","6","0","13","5","8","500","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Horrific, Poisonous Breath, Water Walk, Courage(3), Enormous"
"","","","","","","","","","","","","","","","","","","",""
