"name","activation","move","fight","shoot","defence","combatDice","health","points","unitPoints","hero","commander","champion","spellcaster","spells","magic","min","max","equipment","special"
"Human King","5","6","4","0","10","3","3","279","0","TRUE","TRUE","TRUE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (2), Champion, Shielding (1), Magic Items"
"Human Prince","5","6","3","0","10","2","2","145","0","TRUE","TRUE","TRUE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (1), Champion, Shielding (1), Magic Items"
"Human General","5","6","3","0","10","1","2","260","0","TRUE","TRUE","FALSE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (2), Shielding (1), Magic Items"
"Human Captain","5","6","3","0","10","1","1","133","0","TRUE","TRUE","FALSE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Command (1), Shielding (1), Magic Items"
"Human Champion","5","6","4","0","10","3","1","51","0","TRUE","FALSE","TRUE","0","","TRUE","1","1","Hand Weapon, Shield, Heavy Armour","Champion, Shielding (1), Magic Items "
"Human Spellcaster ","5","6","2","0","8","3","2","50","0","TRUE","FALSE","FALSE","1","Human, General","TRUE","1","1","Hand Weapon","Spellcaster (1), Shielding (1), Fire Over, Magic Items"
"Human Soldier","5","6","2","0","9","1","1","12","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Shield , Light Armour","Shielding (1)"
"Human Spearman","5","6","2","0","9","1","1","13","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Spear, Shield , Light Armour","Shielding (1), Brace"
"Human Archer","5","6","0","2","9","1","1","12","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Bow, Light Armour","Fire Over"
"Human Warrior","5","5","2","0","10","1","1","14","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Shield , Heavy Armour","Shielding (1)"
"Human Militia","6","6","2","0","8","1","1","9","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Shield","Shielding (1)"
"Human Linebreaker","5","5","3","0","10","1","1","17","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Two-Handed Weapons, Heavy Armour","None"
"Human Ranger","5","6","0","2","8","1","1","14","0","FALSE","FALSE","FALSE","0","","FALSE","1","20","Hand Weapon, Bow","Nimble, Aimed Fire"
"Human Engineer","5","6","1","0","9","1","1","12","0","FALSE","FALSE","FALSE","0","","FALSE","5","5","Hand Weapon, Light Armour","Engineers, Figures (5), Waterwalk"
"Human Chariot","5","7","3","0","13","3","3","150","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand weapon, Shield","Charge (3), Wild Charge, Large, Limited Maneuvers, Limited Movements"
"Human Mounted Ranger","5","8","1","2","10","2","1","24","0","FALSE","FALSE","FALSE","0","","FALSE","1","10","Hand Weapon, Bow","Aimed Fire"
"Human Cavalry","5","8","3","0","12","2","1","45","0","FALSE","FALSE","FALSE","0","","FALSE","1","10","Hand Weapon, Shield, Light Armour","Charge (3), Shielding (1)"
"Human Heavy Cavalry ","5","8","3","0","13","2","1","50","0","FALSE","FALSE","FALSE","0","","FALSE","1","10","Hand Weapon, Shield, Heavy Armour","Charge (3), Shielding (1)"
"Human Heavy Catapult","5","2","2","4","8","1","1","120","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand Weapon","Artillery, Crew (4) Indirect Fire, Shielding (1)"
"Human Light Catapult","5","3","2","3","8","1","1","90","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand Weapon","Artillery, Crew (3) Indirect Fire, Shielding (1)"
"Buggane","4","6","3","0","11","3","5","450","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand Weapon","Monster, Shielding (2), Charge (1) Spellcaster (3) Large"
"Giant","7","7","6","0","13","5","12","350","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand Weapon","Monster, Charge (1), Wild Charge, Horrific, Courage (1), Enormous"
"Ogre","7","6","3","0","11","3","3","40","0","FALSE","FALSE","TRUE","0","","FALSE","1","3","Hand Weapon, Shield, Light Armour","Champion, Charge (1), Shielding (1), Courage (2). Large"
"Ogre Linebreaker","7","6","4","0","11","3","3","45","0","FALSE","FALSE","TRUE","0","","FALSE","1","3","Two-Handed Weapon, Light Armour","Champion, Charge (1), Courage (2). Large"
