"name","activation","move","fight","shoot","defence","combatDice","health","points","unitPoints","hero","commander","champion","spellcaster","spells","magic","min","max","equipment","special"
"Animated Idol","3","6","2","0","12","4","6","172","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Charge (3), Large, Undead, Uncaring, Unthinking, Spellcaster Control"
"Barrow Worm","8","6","8","0","12","5","16","312","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Enormous, Nimble, Horrific, Spellcaster Control, Undead, Uncaring, Unthinking, Waterwalk"
"Bodach","2","6","1","0","10","2","3","400","0","FALSE","FALSE","FALSE","4","All","FALSE","1","1","None","Monster,Shielding (2), Spellcaster (4), Discorporate"
"Colossus","6","5","6","0","13","5","10","350","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Horrific, Enormous, Undead, Uncaring, Unthinking, Spellcaster Control"
"Corpse Fire","4","6","3","2","11","2","3","180","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Undead, Uncaring, Unthinking, Fire Breath, Horrific, Regeneration (1), Spellcaster Control"
"Dragon, Winged","2","6","8","3","14","5","12","800","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Charge (2), Wild Charge, Horrific, Shielding (2), Fire Breath, Enormous, Flying"
"Dragon, Wingless","2","6","8","3","14","5","12","700","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Charge (2), Wild Charge, Horrific, Shielding (2), Fire Breath, Enormous"
"Giant","7","7","6","0","13","5","12","350","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","Hand Weapon","Monster, Charge (1), Wild Charge, Horrific, Courage (1), Enormous"
"Living Statue","3","5","3","0","12","3","4","54","0","FALSE","FALSE","FALSE","0","","FALSE","1","3","None","Champion, Large, Undead, Uncaring, Unthinking, Spellcaster Control"
"Surma","4","6","6","0","12","4","6","240","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Horrific, Brace, Shielding (2), Stone Gaze, Large"
"Wraith","3","6","4","0","12","4","4","154","0","FALSE","FALSE","FALSE","0","","FALSE","1","1","None","Monster, Undead, Shadowform, Nimble, Horrific"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
